time,steer,acc,brake
0.025111437,0,0,0
0.051391125,0.007965088,0.999969482,0.999969482
0.10134387,0.007965088,0.999969482,0.999969482
0.151970863,0.007965088,0.999969482,0.999969482
0.202337027,0.007965088,0.999969482,0.999969482
0.252741575,0.007965088,0.999969482,0.999969482
0.303605795,0.007965088,0.999969482,0.999969482
0.35331893,0.007965088,0.999969482,0.999969482
0.403918982,0.007965088,0.999969482,0.999969482
0.453309059,0.007965088,0.999969482,0.999969482
0.50386095,0.007965088,0.999969482,0.999969482
0.554425478,0.007965088,0.999969482,0.999969482
0.605014324,0.007965088,0.999969482,0.999969482
0.655313015,0.007965088,0.999969482,0.999969482
0.705912828,0.007965088,0.999969482,0.999969482
0.756324053,0.007965088,0.999969482,0.999969482
0.806342125,0.039703369,0.999969482,0.999969482
0.857622385,0.07144165,0.999969482,0.999969482
0.908116579,0.11907959,0.999969482,0.999969482
0.957875967,0.142883301,0.999969482,0.999969482
1.008219481,0.166687012,0.999969482,0.999969482
1.058052301,0.182556152,0.999969482,0.999969482
1.109995842,0.182556152,0.999969482,0.999969482
1.160523653,0.190490723,0.999969482,0.999969482
1.211586952,0.222229004,0.999969482,0.999969482
1.261525631,0.238098145,0.999969482,0.999969482
1.312835217,0.261932373,0.999969482,0.999969482
1.362211466,0.293670654,0.999969482,0.999969482
1.412091494,0.309539795,0.999969482,0.999969482
1.463371754,0.325408936,0.999969482,0.999969482
1.512991905,0.341278076,0.999969482,0.999969482
1.564728022,0.365081787,0.999969482,0.999969482
1.615535736,0.388885498,0.999969482,0.999969482
1.6662817,0.436523438,0.999969482,0.999969482
1.716009617,0.460327148,0.999969482,0.999969482
1.767021656,0.5,0.999969482,0.999969482
1.8174088,0.563476563,0.999969482,0.999969482
1.867493629,0.626983643,0.999969482,0.999969482
1.919188976,0.682525635,0.999969482,0.999969482
1.969875574,0.746002197,0.999969482,0.999969482
2.018587351,0.817443848,0.999969482,0.999969482
2.068832636,0.88092041,0.999969482,0.999969482
2.120410442,0.93649292,0.999969482,0.999969482
2.169259548,0.976165771,0.999969482,0.999969482
2.220035315,0.999969482,0.999969482,0.999969482
2.2722435,0.999969482,0.999969482,0.999969482
2.322900057,0.999969482,0.999969482,0.999969482
2.373791695,0.999969482,0.999969482,0.999969482
2.424150944,0.999969482,0.999969482,0.999969482
2.474145412,0.999969482,0.999969482,0.999969482
2.525271654,0.999969482,0.999969482,0.999969482
2.576732635,0.999969482,0.999969482,0.999969482
2.627193451,0.999969482,0.999969482,0.999969482
2.677693605,0.999969482,0.999969482,0.999969482
2.728042841,0.960296631,0.999969482,0.999969482
2.779041052,0.86505127,0.999969482,0.999969482
2.829450369,0.761901855,0.999969482,0.999969482
2.881424904,0.626983643,0.999969482,0.999969482
2.931084394,0.428588867,0.999969482,0.999969482
2.980983257,0.301605225,0.999969482,0.999969482
3.03412199,0.158752441,0.999969482,0.999969482
3.082114935,0.079376221,0.999969482,0.999969482
3.13283658,0.047637939,0.999969482,0.999969482
3.184039831,0.047637939,0.999969482,0.999969482
3.233861685,0.047637939,0.999969482,0.999969482
3.284213781,0.047637939,0.999969482,0.999969482
3.335900545,0.047637939,0.999969482,0.999969482
3.385395527,0.047637939,0.999969482,0.999969482
3.435663939,0.047637939,0.999969482,0.999969482
3.486654758,0.039703369,0.999969482,0.999969482
3.537487268,0,0.999969482,0.999969482
3.588166237,-0.03125,0.999969482,0.999969482
3.639936924,-0.140625,0.999969482,0.999969482
3.689368248,-0.2578125,0.999969482,0.999969482
3.74063921,-0.3671875,0.999969482,0.999969482
3.79026103,-0.4609375,0.999969482,0.999969482
3.841597795,-0.609375,0.999969482,0.999969482
3.891264677,-0.71875,0.999969482,0.999969482
3.942842484,-0.8046875,0.999969482,0.999969482
3.990899324,-0.8828125,0.999969482,0.999969482
4.042171478,-0.9765625,0.999969482,0.999969482
4.092676163,-1,0.999969482,0.999969482
4.14193821,-1,0.999969482,0.999969482
4.192676306,-1,0.999969482,0.999969482
4.242683887,-1,0.999969482,0.999969482
4.293129206,-1,0.999969482,0.999969482
4.344718933,-1,0.999969482,0.999969482
4.395981789,-1,0.999969482,0.999969482
4.446871758,-1,0.999969482,0.999969482
4.498473406,-0.84375,0.999969482,0.999969482
4.54927969,-0.6796875,0.999969482,0.999969482
4.600550413,-0.484375,0.999969482,0.999969482
4.651203394,-0.3671875,0.999969482,0.999969482
4.7015903,-0.28125,0.999969482,0.999969482
4.750785112,-0.1484375,0.999969482,0.999969482
4.801212788,-0.03125,0.999969482,0.999969482
4.853658915,0,0.999969482,0.999969482
4.903376341,0,0.999969482,0.999969482
4.954175472,0.007965088,0.999969482,0.999969482
5.005763292,0.047637939,0.999969482,0.999969482
5.05587697,0.103210449,0.999969482,0.999969482
5.106414557,0.150817871,0.999969482,0.999969482
5.154359102,0.158752441,0.999969482,0.999969482
5.205125093,0.158752441,0.999969482,0.999969482
5.255381584,0.12701416,0.999969482,0.999969482
5.30579257,0.039703369,0.999969482,0.999969482
5.355608702,0,0.999969482,0.999969482
5.407535076,0,0.999969482,0.999969482
5.457916737,3.05E-05,0.999969482,0.999969482
5.507579088,0.007965088,0.999969482,0.999969482
5.558671236,0.007965088,0.999969482,0.999969482
5.609223127,0.007965088,0.999969482,0.999969482
5.65975523,0.007965088,0.999969482,0.999969482
5.709327698,0.007965088,0.999969482,0.999969482
5.760449886,0.007965088,0.999969482,0.999969482
5.810969114,0.007965088,0.999969482,0.999969482
5.859438896,0.007965088,0.999969482,0.999969482
5.910348892,0.007965088,0.999969482,0.999969482
5.961700439,0.007965088,0.999969482,0.999969482
6.012443542,0.007965088,0.999969482,0.999969482
6.062959671,0.007965088,0.999969482,0.999969482
6.112393856,0.007965088,0.999969482,0.999969482
6.16197753,0.007965088,0.984100342,0.999969482
6.212198496,0.007965088,0.825378418,0.999969482
6.262918234,0.007965088,0.396820068,0.999969482
6.313545942,0.007965088,-0.296875,0.999969482
6.363109589,0.007965088,-0.9765625,0.999969482
6.415615559,0.007965088,-1,0.999969482
6.465709686,0.007965088,-1,0.999969482
6.516908169,0.007965088,-1,0.999969482
6.56637001,0.007965088,-1,0.999969482
6.616408348,0.007965088,-1,0.999969482
6.66759181,0.007965088,-1,0.999969482
6.718044758,0.007965088,-1,0.999969482
6.768633127,0.007965088,-1,0.999969482
6.819973469,0.007965088,-0.9140625,0.999969482
6.868658066,0.007965088,-0.5625,0.999969482
6.918655872,0.007965088,0.11114502,0.999969482
6.969747066,0.007965088,0.976165771,0.999969482
7.020879269,0.007965088,0.999969482,0.999969482
7.070549488,0.007965088,0.999969482,0.999969482
7.121184587,0.007965088,0.999969482,0.999969482
7.17043829,0.007965088,0.999969482,0.999969482
7.220558643,0.007965088,0.999969482,0.999969482
7.271118641,0.007965088,0.999969482,0.999969482
7.322147131,0.007965088,0.999969482,0.999969482
7.372810125,0.015899658,0.999969482,0.999969482
7.422837496,0.015899658,0.999969482,0.999969482
7.47315383,0.015899658,0.999969482,0.999969482
7.524142981,0.015899658,0.999969482,0.999969482
7.573688507,0.015899658,0.999969482,0.999969482
7.624275923,0.015899658,0.999969482,0.999969482
7.675606728,0.015899658,0.999969482,0.999969482
7.725931406,0.015899658,0.999969482,0.999969482
7.77561903,0.015899658,0.999969482,0.761901855
7.826067686,0.015899658,0.999969482,0.436523438
7.876593351,0.015899658,0.999969482,-0.1953125
7.926255703,0.015899658,0.999969482,-0.7734375
7.976521015,0.015899658,0.999969482,-1
8.027494431,0.015899658,0.999969482,-1
8.078214645,0.015899658,0.999969482,-1
8.128689528,0.015899658,0.999969482,-1
8.178446531,0.023834229,0.999969482,-1
8.228290081,0.023834229,0.999969482,-1
8.279934406,0.023834229,0.999969482,-1
8.329900265,0.023834229,0.999969482,-1
8.381293535,0.023834229,0.999969482,-1
8.431752682,0.023834229,0.999969482,-1
8.482419252,0.023834229,0.999969482,-1
8.533433199,0.023834229,0.999969482,-1
8.583555698,0.023834229,0.999969482,0.06350708
8.633725643,0.023834229,0.999969482,0.999969482
8.68358779,0.023834229,0.999969482,0.999969482
8.734660149,0.023834229,0.999969482,0.999969482
8.784554958,0.023834229,0.999969482,0.999969482
8.835555077,0.023834229,0.999969482,0.999969482
8.885576487,0.023834229,0.999969482,0.999969482
8.934855223,0.023834229,0.999969482,0.999969482
8.984535933,0.023834229,0.999969482,0.999969482
9.035716057,0.023834229,0.999969482,0.999969482
9.087124825,0.023834229,0.999969482,0.999969482
9.137615681,0.023834229,0.999969482,0.999969482
9.188495636,0.031768799,0.999969482,0.999969482
9.237846851,0.031768799,0.999969482,0.999969482
9.289809942,0.031768799,0.999969482,0.999969482
9.339695692,0.031768799,0.999969482,0.999969482
9.390484095,0.031768799,0.999969482,0.999969482
9.440372944,0.031768799,0.999969482,0.999969482
9.491322756,0.031768799,0.999969482,0.999969482
9.54244709,0.039703369,0.999969482,0.999969482
9.593117714,0.039703369,0.999969482,0.999969482
9.643653154,0.039703369,0.999969482,0.999969482
9.694198847,0.039703369,0.999969482,0.999969482
9.744647026,0.039703369,0.999969482,0.999969482
9.795106888,0.039703369,0.999969482,0.999969482
9.84626627,0.039703369,0.999969482,0.999969482
9.897814751,0.039703369,0.999969482,0.999969482
9.948006392,0.039703369,0.999969482,0.999969482
9.997825146,0.039703369,0.999969482,0.999969482
10.04819226,0.039703369,0.999969482,0.999969482
10.09882617,0.039703369,0.999969482,0.999969482
10.14949274,0.039703369,0.999969482,0.999969482
10.20030212,0.039703369,0.999969482,0.999969482
10.25017977,0.039703369,0.999969482,0.999969482
10.30251193,0.039703369,0.999969482,0.999969482
10.35434675,0.039703369,0.999969482,0.999969482
10.4038558,0.039703369,0.999969482,0.999969482
10.45475793,0.039703369,0.999969482,0.999969482
10.50408101,0.039703369,0.999969482,0.999969482
10.55564475,0.039703369,0.999969482,0.999969482
10.60702682,0.039703369,0.999969482,0.999969482
10.65763235,0.039703369,0.999969482,0.999969482
10.70798731,0.039703369,0.999969482,0.999969482
10.75690365,0.039703369,0.999969482,0.999969482
10.80780959,0.039703369,0.999969482,0.999969482
10.85832691,0.039703369,0.999969482,0.999969482
10.9095273,0.039703369,0.999969482,0.999969482
10.95876694,0.039703369,0.999969482,0.999969482
11.00906372,0.039703369,0.999969482,0.999969482
11.06099868,0.039703369,0.999969482,0.999969482
11.11177778,0.039703369,0.999969482,0.999969482
11.16277766,0.039703369,0.999969482,0.999969482
11.21281743,0.039703369,0.999969482,0.999969482
11.2619319,0.039703369,0.999969482,0.999969482
11.31473446,0.039703369,0.999969482,0.999969482
11.36329865,0.039703369,0.999969482,0.999969482
11.41582155,0.039703369,0.999969482,0.999969482
11.46754408,0.039703369,0.999969482,0.999969482
11.57970285,0.039703369,0.999969482,0.999969482
